,folder,tag,env,n,save_interval,train_steps,not_save,env_config,env_num,description_original,description,weights,n_steps,gamma,perf,n_ep,hours
0,experiments,,Turn_left,0.0,10000.0,500000.0,0.0,,1.0,,,,,0.99,0.0,2301.0,1.6
1,experiments,,Turn_left,0.0,10000.0,500000.0,0.0,,1.0,,,,,0.99,0.0,,
2,experiments,,Base,0.0,10000.0,500000.0,0.0,,1.0,,,,,0.99,0.0,848.0,0.5
3,experiments,Baseline,Base,0.0,10000.0,500000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 1, 'num_lanes_changes': 4, 'max_time_out': 2, 'frames_per_state': 4, 'max_episode_reward': 10, 'reward_fn': <function default_reward_callback at 0x7f1e86dc4c80>}",1.0,,,,,0.99,0.0,383.0,0.8
4,experiments,,Base,0.0,10000.0,500000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 1, 'num_lanes_changes': 4, 'max_time_out': 2, 'frames_per_state': 4, 'max_episode_reward': 1, 'reward_fn': <function default_reward_callback at 0x7f37eada0bf8>}",1.0,,,,,0.99,0.0,872.0,0.7664307414
5,experiments,,Base,0.0,10000.0,500000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 1, 'num_lanes_changes': 4, 'max_time_out': 2, 'frames_per_state': 4, 'max_episode_reward': 1, 'reward_fn': <function default_reward_callback at 0x7f0c0c60cc80>}",1.0,,,,,0.99,0.0,677.0,1.4700758922
6,experiments,left,Turn_left,0.0,10000.0,1000000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 1, 'num_lanes_changes': 4, 'max_time_out': 2, 'frames_per_state': 4, 'max_episode_reward': 10, 'reward_fn': <function Turn_left.__init__.<locals>.reward_fn at 0x7f132a8e81e0>}",1.0,,,,,0.99,0.0,2770.0,1.8440898408
7,experiments,left,Turn_left,0.0,10000.0,1000000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 1, 'num_lanes_changes': 4, 'max_time_out': 2, 'frames_per_state': 4, 'max_episode_reward': 10, 'reward_fn': <function Turn_left.__init__.<locals>.reward_fn at 0x7f1d0e28e1e0>}",4.0,,,,,0.99,0.0,960.0,0.5523236197
8,experiments,left,Turn_left,0.0,10000.0,1000000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 1, 'num_lanes_changes': 4, 'max_time_out': 2, 'frames_per_state': 4, 'max_episode_reward': 10, 'reward_fn': <function Turn_left.__init__.<locals>.reward_fn at 0x7f6b2cdea1e0>}",4.0,Running with the correct render,Running with the correct render,,,0.99,0.0,2201.0,1.1850508417
9,experiments,left_continuing,Turn_left,0.0,10000.0,1000000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 1, 'num_lanes_changes': 4, 'max_time_out': 2, 'frames_per_state': 4, 'max_episode_reward': 10, 'reward_fn': <function Turn_left.__init__.<locals>.reward_fn at 0x7fc0557192f0>}",4.0,Continuing experiment 8,Continuing experiment 8,experiments/8_left/weights_509184.pkl,,0.99,0.0,10000.0,3.2455161469
10,experiments,Baseline_v1,Base,0.0,50000.0,3000000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 2, 'num_lanes_changes': 0, 'num_obstacles': 100, 'max_time_out': 2.0, 'frames_per_state': 4, 'max_step_reward': 1, 'reward_fn': <function default_reward_callback at 0x7f8262c93ea0>, 'random_obstacle_x_position': False, 'random_obstacle_shape': False}",4.0,New Baseline with more training and using obstacles,New Baseline with more training and, using obstacles,,0.99,0.0,4402.0,9.2003342686
11,experiments,Turn_left_v1,Turn_left,0.0,50000.0,3000000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 2, 'num_lanes_changes': 0, 'num_obstacles': 100, 'max_time_out': 1.0, 'frames_per_state': 4, 'max_step_reward': 10, 'reward_fn': <function Turn_left.__init__.<locals>.reward_fn at 0x7f3fbbc58598>, 'random_obstacle_x_position': False, 'random_obstacle_shape': False}",4.0,Turn left policy with obstacles and new termination policy by the env,Turn left policy with obstacles and, new termination policy by the env,,0.99,0.0,10000.0,18.290022095799998
12,experiments,Turn_rigth_v1,Turn_right,0.0,50000.0,3000000.0,0.0,"{'allow_reverse': False, 'grayscale': 1, 'show_info_panel': False, 'verbose': 0, 'discretize_actions': 'hard', 'num_tracks': 2, 'num_lanes': 2, 'num_lanes_changes': 0, 'num_obstacles': 100, 'max_time_out': 1.0, 'frames_per_state': 4, 'max_step_reward': 10, 'reward_fn': <function Turn.__init__.<locals>.reward_fn at 0x7fb0146b46a8>, 'random_obstacle_x_position': False, 'random_obstacle_shape': False}",4.0,Turn right with same env as the new left policy,Turn right with the same env as the, new left policy,,0.99,0.0,10000.0,18.0627973503
